entity_key,entity_label,nearest_cluster_id,euclidean_distance,cosine_similarity
the making of a moonie,the making of a moonie,49,0.8054349564386426,0.6035707734699056
the politics of religious apostasy,the politics of religious apostasy,39,0.7288968784274734,0.685177672797824
illegal activities of sects,illegal activities of sects,42,0.6457100315786111,0.7650859740132522
sette religiose e nuovi movimenti magici in italia,sette religiose e nuovi movimenti magici in italia,57,0.7571845795741882,0.6566642281897136
deprogramming,deprogramming,44,0.525356615547612,0.8597053783096986
brainwashing,brainwashing,40,0.5088469121252411,0.8715504908058114
"introvigne, massimo","introvigne, massimo",25,0.8715258440285958,0.5033220710183903
apocalypse,apocalypse,2,0.771813782034276,0.6614728912606332
apostates,apostates,24,0.7908043831099361,0.6128849022315337
brill,brill,35,0.8389940503648163,0.55628820369234
moral panics,moral panics,35,0.7732491366993519,0.6351657786293253
pour en finir avec les sectes,pour en finir avec les sectes,42,0.6437514998359976,0.7668467597981901
oxford university press,oxford university press,34,0.7980509449712407,0.6076252647704414
sociological analysis,sociological analysis,35,0.738837799966323,0.6738864557097017
david bromley,david bromley,1,0.8671973950630882,0.5317366827724745
james richardson,james richardson,35,0.8766233900874232,0.5082479419366822
transaction,transaction,35,0.7575010744669627,0.6531045010249537
the handbook of cults and sects in america,the handbook of cults and sects in america,42,0.7508553056430287,0.6627066212008219
jeffrey hadden,jeffrey hadden,35,0.8708321974989832,0.5157783612957798
edwin mellen press,edwin mellen press,35,0.8789381436721592,0.5052234616074521
social problems,social problems,35,0.7271722031325573,0.6866122993234323
anti-cult movements in cross-cultural perspective,anti-cult movements in cross-cultural perspective,47,0.6070216930455636,0.7955806456584544
garland,garland,35,0.8813218865934687,0.5021010593456241
rutgers university press,rutgers university press,34,0.8432014521223876,0.5535895753051502
